SKU	KEYWORDS	DESCRIPTION	CONSUMABLE	AVAILABILITY	PRICE	LINK	NAME	IMAGE	LOCATION	DATASHEET
VG95IFNpemU=	Vibration	The motor is compact, convenient, low noise and high speed.forceful vibration.conveniently install to PCB.Typical Application: RC toys,Game Controller,massage, Adult toy,Vibrating toothbrus, Electrical Toys, Game Machine, Game Handle, Game Controller, Electric Appliances, Massager Device, etc.	0	5	6.92	https://www.amazon.com/Pieces-Vibration-Electric-Motor-5200RPM/dp/B00NQCOEM4/ref=sr_1_10?ie=UTF8&qid=1512612877&sr=8-10&keywords=vibrator+motor	Toy Size	../cap/images/3V5200RPMVibrator.jpg		
RmxleCBTZW5zb3I=	Sensing		0	3	13.43	https://www.amazon.com/Adafruit-Short-Flex-Sensor-ADA1070/dp/B00SK8PZVS/ref=sr_1_3?ie=UTF8&qid=1520781100&sr=8-3&keywords=flex+sensor	Flex Sensor	../cap/images/flexSensor.jpg		
U3VubnlraXQgU29sYXIgUGFuZWw=	Sensing	0.5w 5V	0	5	6.99	https://www.amazon.com/gp/product/B008J9BZIA/ref=ox_sc_act_title_1?smid=A38GXV238JJXE&psc=1	Sunnykit Solar Panel	../cap/images/halfWattSolarPannel.jpg		
MS8xNiIgVHViaW5n	Consumable		0	3	13.99	https://www.amazon.com/Ardokit-Feet-Meter-16inch-Polyolefin/dp/B00LN51LFE/ref=pd_sim_328_3?_encoding=UTF8&psc=1&refRID=7F0YT3SPTGMC8F9JA1K6	1/16" Tubing	../cap/images/heatShrinkTubing116.jpg		
RWxlY3Ryb25peCB3aXJl	Consumable		0	1	20.5	https://www.amazon.com/Electronix-Express-Hook-Wire-Solid/dp/B00B4ZRPEY/ref=pd_sim_328_34?_encoding=UTF8&psc=1&refRID=6J8TX69ZKMXB8VHB08YM	Electronix wire	../cap/images/hookupWire.jpg		
MS84IiBUdWJpbmc=	Consumable		0	3	12.69	https://www.amazon.com/Lucksender-Feet-Meter-8inch-Polyolefin/dp/B00SPNM5XY/ref=pd_sim_328_2?_encoding=UTF8&psc=1&refRID=7F0YT3SPTGMC8F9JA1K6	1/8" Tubing	../cap/images/heatShrinkTubing18.jpg		
U2hyaW5rIFR1YmluZw==	Consumable		0	5	11.95	https://www.amazon.com/Heat-Shrink-Tube-Cable-Sleeve/dp/B071XT5FBH/ref=sr_1_2_sspa?ie=UTF8&qid=1508809992&sr=8-2-spons&keywords=shrink+tubing&psc=1	Shrink Tubing	../cap/images/heatShrinkTubingPack.jpg		
MC42bW0gU29sZGVy	Soldering		0	5	10.99	https://www.amazon.com/Mudder-Solder-Ag0-3-Electrical-Soldering/dp/B01B61TWGY/ref=sr_1_1_sspa?ie=UTF8&qid=1512609963&sr=8-1-spons&keywords=leadfree+solder+wire&psc=1	0.6mm Solder	../cap/images/leadFreeSolder06mm100g.jpg		
TmVtYSBNb3VudGluZyBCcmFja2V0	Tools	- Two Pack - NEMA 17 Mounting Bracket - 90 degrees - M3 Screws Included (8) - Mounting Holes: 31mm center-to-center - Max Collar Diameter: 22mm - Powder-coated steel - Nema17 Standard - Mounting Holes: 31mm center-to-center - Max Collar Diameter: 22mm	0	5	7.99	https://www.amazon.com/WINOMO-Stepper-Mounting-Bracket-Screws/dp/B01HHPD7LY/ref=sr_1_2?ie=UTF8&qid=1508809893&sr=8-2&keywords=nema+17+mount	Nema Mounting Bracket	../cap/images/nemaBracket.jpg	Shelve 5F	
U3lyaW5nZSBGbHV4	Soldering		0	5	10	https://www.amazon.com/MG-Chemicals-Clean-Paste-Syringe/dp/B00425FUW2/ref=sr_1_3?ie=UTF8&qid=1512610018&sr=8-3&keywords=electronics+flux	Syringe Flux	../cap/images/MGChemSyringeFluxPaste.jpg		
